enzyme_id,sequence_hash,embedding_file,embedding_dim,model,model_source,pooling
ENZ_PAZY_350,ba96dab6274bace4649446e794bf5ffef2620c1ed12a8b4250b7443b44e53b57,,480,facebook/esm2_t12_35M_UR50D,cache,mean_no_bos_eos
ENZ_PAZY_351,1d64875b0696538f2f7a020036119d64e0c64064db762ba8611f86fc881fe860,,480,facebook/esm2_t12_35M_UR50D,cache,mean_no_bos_eos
ENZ_PAZY_352,a3b269707c07f6dc73b022140c893f70cc6b81c8ba5d26dba5f92a9553b22b22,,480,facebook/esm2_t12_35M_UR50D,cache,mean_no_bos_eos
ENZ_PAZY_353,b49ea4e82049d70d879b734acaf389c52b00529cc17d6c2adbaff25338811b51,,480,facebook/esm2_t12_35M_UR50D,cache,mean_no_bos_eos
ENZ_PAZY_354,16643743bec325e18b4f9a480475cf0c3cf27eb0673619a8e30ed11deb3b3bf0,,480,facebook/esm2_t12_35M_UR50D,cache,mean_no_bos_eos
ENZ_PAZY_355,0e5e0e4d03a94fbeb523bee5d165fadf836522cca70ef585135b8c35a310299e,,480,facebook/esm2_t12_35M_UR50D,cache,mean_no_bos_eos
ENZ_PAZY_356,402a341d8877c28d573e7a4ea2eb21c08435b169cce16b81d2265951937bc8a9,,480,facebook/esm2_t12_35M_UR50D,cache,mean_no_bos_eos
ENZ_PAZY_357,9530356880b611a1e40439c8787129384d457c45f2f3dc35959cf9cb15e6ccec,,480,facebook/esm2_t12_35M_UR50D,cache,mean_no_bos_eos
ENZ_PAZY_358,7f08fe865c5c6fd6a3cf68f6a90195a48b2729488481123c00d9a38a1332c44f,,480,facebook/esm2_t12_35M_UR50D,cache,mean_no_bos_eos
ENZ_PAZY_359,8b0dba683368770e859c74604e13d91710a0b77069dfcb06bb1ebbfc49d320bb,,480,facebook/esm2_t12_35M_UR50D,cache,mean_no_bos_eos
ENZ_PAZY_360,a8e3c4fe12ab9ec610feb5ad86c89f33b94c1dace1e41954be569893b2b068fa,,480,facebook/esm2_t12_35M_UR50D,cache,mean_no_bos_eos
ENZ_PAZY_361,11a79e90eb3c56d530c23b0f04da8a07e2d3e24de9f60112245997222c299704,,480,facebook/esm2_t12_35M_UR50D,cache,mean_no_bos_eos
ENZ_PAZY_362,bb1a458efee0728774bfa8b164e6c4137d68bf0d3c8efc561630fb281fbcb0bb,,480,facebook/esm2_t12_35M_UR50D,cache,mean_no_bos_eos
ENZ_PAZY_363,c5bc877336b70bad31597567770612abc063f035a74978bb35924d32bb61b6f1,,480,facebook/esm2_t12_35M_UR50D,cache,mean_no_bos_eos
ENZ_PAZY_364,8823c21f86b983072ff03015e1fe63eac9e07bfd777e21ac28db93b892410b9a,,480,facebook/esm2_t12_35M_UR50D,cache,mean_no_bos_eos
ENZ_PAZY_365,ea3c1eb85d4556d0f02476b8f0f957eed69bb076461c7a523f9a780be7996279,,480,facebook/esm2_t12_35M_UR50D,cache,mean_no_bos_eos
ENZ_PAZY_366,e1506270923019159404e2dd9a48728c1f54189f69f14cf5be723d354074e56f,,480,facebook/esm2_t12_35M_UR50D,cache,mean_no_bos_eos
ENZ_PAZY_367,7f3f196d125572fcf0ce93080cf6a0691afccaa650902304355f32c36f7bdf63,,480,facebook/esm2_t12_35M_UR50D,cache,mean_no_bos_eos
ENZ_PAZY_368,dacbb3dca2e0fac75108b3a4b9671f78af37530082dead46f0deb03386e1ca7a,,480,facebook/esm2_t12_35M_UR50D,cache,mean_no_bos_eos
ENZ_PAZY_369,c9876b20b2e435068d4eed290764bcefbe20cd6c1b63bbb059a61a15d43d21ec,,480,facebook/esm2_t12_35M_UR50D,cache,mean_no_bos_eos
ENZ_PAZY_370,2832c05b749b43d27f9c5e2bcc3dc5764674760d3f70b74d11661e528a485ee1,,480,facebook/esm2_t12_35M_UR50D,cache,mean_no_bos_eos
ENZ_PAZY_371,4070ad52cc2e54b28ad95fe7d3548c1edb1d24d2881630228c9ba1922bfbcacd,,480,facebook/esm2_t12_35M_UR50D,cache,mean_no_bos_eos
ENZ_PAZY_372,32f021ea05761eba56939f993406220bda8958f815c1a9f69f99eedc3afdb999,,480,facebook/esm2_t12_35M_UR50D,cache,mean_no_bos_eos
ENZ_PAZY_373,b56577419518953349f473ed7fc109a04bc631843db62ba53f170ee6a2ee0efe,,480,facebook/esm2_t12_35M_UR50D,cache,mean_no_bos_eos
ENZ_PAZY_374,f7183c387cf77092e8aa592f3ef55d7b29dd57a0a5e897c8563f579015cafc92,,480,facebook/esm2_t12_35M_UR50D,cache,mean_no_bos_eos
ENZ_PAZY_375,87dc1f104af32c4d20bf53f3680476d650c9f68a818f5e3555be84d6f152f268,,480,facebook/esm2_t12_35M_UR50D,cache,mean_no_bos_eos
ENZ_PAZY_376,502bea59b0437441fbd08afb241385e5ce2e5612db1bfd9c4a6851d885fc4dcf,,480,facebook/esm2_t12_35M_UR50D,cache,mean_no_bos_eos
ENZ_PAZY_377,46c6bf9578e6831c7cd1806651306365c62096da11068287fee34ff9aefa031d,,480,facebook/esm2_t12_35M_UR50D,cache,mean_no_bos_eos
ENZ_PAZY_378,8c049d757211416463590ca56f01c5fae8bf54cdeab8fd37a8b6a526f0b9730b,,480,facebook/esm2_t12_35M_UR50D,cache,mean_no_bos_eos
ENZ_PAZY_379,dcfe2f1543dc38e01b6c3ccc6e2256aaba89dca566152684013a4f5fe2673d38,,480,facebook/esm2_t12_35M_UR50D,cache,mean_no_bos_eos
ENZ_PAZY_380,f4c109d2c73df3fb88f752422f347e832b075c238bd21a89175e449801cb7ba8,,480,facebook/esm2_t12_35M_UR50D,cache,mean_no_bos_eos
ENZ_PAZY_482,85d56565dfe413a2c3716f82b9385b099ea3a463084e03140f11126b2a8ce3cd,,480,facebook/esm2_t12_35M_UR50D,cache,mean_no_bos_eos
ENZ_PAZY_500,50672eccb57a66e0dcf7ab74db2fdaaffe624c4e900f101f476e70c25dd5ef6e,,480,facebook/esm2_t12_35M_UR50D,cache,mean_no_bos_eos
ENZ_PAZY_501,4e46e8588ee1ad734c5a616916bf875263d140ca58fe3949ba5aaaab932f53d4,,480,facebook/esm2_t12_35M_UR50D,cache,mean_no_bos_eos
ENZ_PAZY_54,ceab963bc143f2f9c298bd7ddf5b619e647bf6c396de44ecfbe2f152b9d4ac27,,480,facebook/esm2_t12_35M_UR50D,cache,mean_no_bos_eos
ENZ_PAZY_59,27ec77fe72a54afa38486c1f8079cd03547a1fd36e42d78da413ffb90499d7e5,,480,facebook/esm2_t12_35M_UR50D,cache,mean_no_bos_eos
ENZ_PAZY_61,3a75ee79fc81585a67ab8a884edf3fa89d670fe687af10c820f0bcc17bd2402f,,480,facebook/esm2_t12_35M_UR50D,cache,mean_no_bos_eos
ENZ_PAZY_62,030dd89fdb277679bd1997577b10514793404a50b3ec5c43a50707f1d0fb7473,,480,facebook/esm2_t12_35M_UR50D,cache,mean_no_bos_eos
ENZ_PAZY_63,fdd2df592c80b02a3a689bc3338d6c813dc315eb52fa1ab48f804a27a39f9767,,480,facebook/esm2_t12_35M_UR50D,cache,mean_no_bos_eos
ENZ_PAZY_65,a894001320a20c41eee79c7abe717dd5172844fe079ca6e74557721e8a547679,,480,facebook/esm2_t12_35M_UR50D,cache,mean_no_bos_eos
ENZ_PDB_7CWQ_1,bd5bb186c05854c10f683cf035a9a13d15e88ebef09eaf274eb89fcc2ec536f9,,480,facebook/esm2_t12_35M_UR50D,cache,mean_no_bos_eos
